host_name,ip,cpu,memory,disk,network,processes,connections,attack_type,status,threats,action,offline
DESKTOP-7HIR3KC,192.168.8.146,10.6,84.2,97.0,0.21,320,91,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,4.3,85.3,97.0,0.0,320,92,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,2.8,85.2,97.0,0.0,320,93,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,5.7,85.2,97.0,0.0,320,93,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,3.9,85.4,97.0,0.69,320,93,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,26.7,85.4,97.0,0.15,320,93,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,31.0,85.4,97.0,0.12,320,94,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,46.0,85.1,97.0,0.37,320,95,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,49.8,85.1,97.0,0.0,320,96,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,22.1,84.9,97.0,0.05,320,96,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,27.2,85.6,97.0,40.98,320,95,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,9.1,85.7,97.0,2.86,320,96,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,10.1,85.6,97.0,10.87,320,96,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,7.0,85.6,97.0,21.16,320,96,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,3.9,85.6,97.0,12.61,320,97,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,5.8,85.5,97.0,0.0,320,96,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,5.1,85.6,97.0,11.13,320,95,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,9.4,85.5,97.0,0.28,320,96,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,3.5,85.6,97.0,11.47,320,96,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,13.1,85.6,97.0,0.25,320,96,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,98.5,90.4,97.0,1023.15,333,96,Unknown,Safe,Unknown,BLOCKED,False
DESKTOP-7HIR3KC,192.168.8.146,73.5,89.3,97.0,2.64,333,96,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,72.5,89.2,97.0,3.23,333,97,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,77.0,89.4,97.0,0.22,333,98,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,64.6,88.7,97.0,0.0,333,99,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,86.9,89.0,97.0,0.16,334,100,Unknown,Safe,Unknown,BLOCKED,False
DESKTOP-7HIR3KC,192.168.8.146,30.2,88.4,97.0,39.29,327,102,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,15.2,88.3,97.0,8.61,327,103,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,35.7,88.2,97.0,0.28,327,103,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,29.7,88.6,97.0,0.34,327,104,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,26.6,88.5,97.0,0.0,327,103,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,35.0,88.6,97.0,0.0,327,103,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,20.7,88.5,97.0,0.37,327,101,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,35.5,88.4,97.0,0.0,326,101,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,22.0,88.1,97.0,0.5,326,102,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,56.7,88.1,97.0,2.76,326,105,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,33.7,88.0,97.0,0.28,326,105,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,40.2,88.1,97.0,0.34,326,106,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,24.4,88.3,97.0,0.0,326,104,Unknown,Safe,Unknown,SAFE,False
